state,county_fips,county_name,year,typical_home_value,zillow_months_available,home_value_source,home_value_year_method,zillow_data_status
FL,12001,Alachua County,2015,159898.67,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2016,169945.18,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2017,183486.13,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2018,196693.83,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2019,206298.5,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2020,222412.68,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2021,254136.36,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2022,293518.92,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2023,307502.27,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2024,316681.56,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2015,149560.51,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2016,161840.63,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2017,171980.06,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2018,187037.14,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2019,202757.63,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2020,221732.0,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2021,258401.77,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2022,303643.1,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2023,302208.0,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2024,308612.73,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2015,178874.58,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2016,188746.31,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2017,196481.96,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2018,212547.94,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2019,222192.41,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2020,246346.6,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2021,286115.59,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2022,351484.59,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2023,367311.09,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2024,363286.2,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2015,110775.55,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2016,118652.56,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2017,125500.89,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2018,137300.3,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2019,145520.48,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2020,160292.38,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2021,188512.12,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2022,229053.43,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2023,240952.6,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
