state,county_fips,county_name,year,typical_home_value,zillow_months_available,home_value_source,home_value_year_method,zillow_data_status
DE,10001,Kent County,2015,199265.6,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10001,Kent County,2016,207846.86,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10001,Kent County,2017,213062.2,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10001,Kent County,2018,220202.2,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10001,Kent County,2019,231577.43,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10001,Kent County,2020,246739.06,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10001,Kent County,2021,285268.03,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10001,Kent County,2022,322785.98,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10001,Kent County,2023,339460.37,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10001,Kent County,2024,356784.61,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10003,New Castle County,2015,220132.71,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10003,New Castle County,2016,233045.05,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10003,New Castle County,2017,244268.65,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10003,New Castle County,2018,251456.36,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10003,New Castle County,2019,256476.35,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10003,New Castle County,2020,262087.53,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10003,New Castle County,2021,295095.01,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10003,New Castle County,2022,321713.68,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10003,New Castle County,2023,338174.08,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10003,New Castle County,2024,355060.82,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10005,Sussex County,2015,295984.39,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10005,Sussex County,2016,303581.57,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10005,Sussex County,2017,316566.45,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10005,Sussex County,2018,323994.76,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10005,Sussex County,2019,335637.71,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10005,Sussex County,2020,350925.97,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10005,Sussex County,2021,418331.72,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10005,Sussex County,2022,483636.32,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10005,Sussex County,2023,491084.9,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
DE,10005,Sussex County,2024,492890.62,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2015,159898.67,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2016,169945.18,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2017,183486.13,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2018,196693.83,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2019,206298.5,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2020,222412.68,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2021,254136.36,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2022,293518.92,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2023,307502.27,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12001,Alachua County,2024,316681.56,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2015,149560.51,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2016,161840.63,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2017,171980.06,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2018,187037.14,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2019,202757.63,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2020,221732.0,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2021,258401.77,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2022,303643.1,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2023,302208.0,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12003,Baker County,2024,308612.73,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2015,178874.58,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2016,188746.31,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2017,196481.96,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2018,212547.94,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2019,222192.41,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2020,246346.6,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2021,286115.59,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2022,351484.59,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2023,367311.09,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12005,Bay County,2024,363286.2,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2015,110775.55,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2016,118652.56,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2017,125500.89,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2018,137300.3,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2019,145520.48,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2020,160292.38,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2021,188512.12,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2022,229053.43,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2023,240952.6,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12007,Bradford County,2024,248939.63,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12009,Brevard County,2015,159631.04,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12009,Brevard County,2016,178448.91,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12009,Brevard County,2017,198867.75,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12009,Brevard County,2018,217667.11,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12009,Brevard County,2019,226873.4,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12009,Brevard County,2020,241522.91,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12009,Brevard County,2021,284959.6,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12009,Brevard County,2022,351547.35,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12009,Brevard County,2023,362220.53,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12009,Brevard County,2024,364123.61,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12011,Broward County,2015,205938.01,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12011,Broward County,2016,223416.22,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12011,Broward County,2017,244837.27,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12011,Broward County,2018,266337.37,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12011,Broward County,2019,279590.28,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12011,Broward County,2020,293735.88,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12011,Broward County,2021,332975.67,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12011,Broward County,2022,401668.88,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12011,Broward County,2023,433489.73,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12011,Broward County,2024,453354.68,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12013,Calhoun County,2015,95866.85,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12013,Calhoun County,2016,99841.35,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12013,Calhoun County,2017,107034.54,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12013,Calhoun County,2018,114397.53,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12013,Calhoun County,2019,117909.42,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12013,Calhoun County,2020,126743.94,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12013,Calhoun County,2021,156080.13,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12013,Calhoun County,2022,177915.75,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12013,Calhoun County,2023,183623.15,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12013,Calhoun County,2024,189020.82,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12015,Charlotte County,2015,168909.53,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12015,Charlotte County,2016,187729.36,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12015,Charlotte County,2017,201043.66,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12015,Charlotte County,2018,214021.65,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12015,Charlotte County,2019,224292.09,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12015,Charlotte County,2020,236236.41,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12015,Charlotte County,2021,285965.67,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12015,Charlotte County,2022,375550.49,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12015,Charlotte County,2023,380184.06,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12015,Charlotte County,2024,363473.29,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12017,Citrus County,2015,118527.2,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12017,Citrus County,2016,131137.4,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12017,Citrus County,2017,143935.24,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12017,Citrus County,2018,159786.24,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12017,Citrus County,2019,168452.16,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12017,Citrus County,2020,181252.73,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12017,Citrus County,2021,222364.6,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12017,Citrus County,2022,278580.58,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
FL,12017,Citrus County,2023,287942.5,12,Zillow ZHVI county,annual_mean_zhvi,complete_12_months
