state,county_fips,county_name,year,median_household_income,income_source,acs_data_status
FL,12001,Alachua County,2015,43073,ACS 2015 5-year B19013,available
FL,12001,Alachua County,2016,44702,ACS 2016 5-year B19013,available
FL,12001,Alachua County,2017,45478,ACS 2017 5-year B19013,available
FL,12001,Alachua County,2018,49078,ACS 2018 5-year B19013,available
FL,12001,Alachua County,2019,49689,ACS 2019 5-year B19013,available
FL,12001,Alachua County,2020,50089,ACS 2020 5-year B19013,available
FL,12001,Alachua County,2021,53314,ACS 2021 5-year B19013,available
FL,12001,Alachua County,2022,57566,ACS 2022 5-year B19013,available
FL,12001,Alachua County,2023,59659,ACS 2023 5-year B19013,available
FL,12001,Alachua County,2024,61949,ACS 2024 5-year B19013,available
FL,12003,Baker County,2015,47121,ACS 2015 5-year B19013,available
FL,12003,Baker County,2016,53327,ACS 2016 5-year B19013,available
FL,12003,Baker County,2017,59506,ACS 2017 5-year B19013,available
FL,12003,Baker County,2018,61769,ACS 2018 5-year B19013,available
FL,12003,Baker County,2019,63275,ACS 2019 5-year B19013,available
FL,12003,Baker County,2020,62299,ACS 2020 5-year B19013,available
FL,12003,Baker County,2021,63860,ACS 2021 5-year B19013,available
FL,12003,Baker County,2022,67872,ACS 2022 5-year B19013,available
FL,12003,Baker County,2023,70833,ACS 2023 5-year B19013,available
FL,12003,Baker County,2024,79836,ACS 2024 5-year B19013,available
FL,12005,Bay County,2015,47368,ACS 2015 5-year B19013,available
FL,12005,Bay County,2016,48577,ACS 2016 5-year B19013,available
FL,12005,Bay County,2017,50283,ACS 2017 5-year B19013,available
FL,12005,Bay County,2018,51829,ACS 2018 5-year B19013,available
FL,12005,Bay County,2019,54316,ACS 2019 5-year B19013,available
FL,12005,Bay County,2020,56483,ACS 2020 5-year B19013,available
FL,12005,Bay County,2021,60473,ACS 2021 5-year B19013,available
FL,12005,Bay County,2022,65999,ACS 2022 5-year B19013,available
FL,12005,Bay County,2023,70188,ACS 2023 5-year B19013,available
FL,12005,Bay County,2024,73533,ACS 2024 5-year B19013,available
FL,12007,Bradford County,2015,41606,ACS 2015 5-year B19013,available
FL,12007,Bradford County,2016,43373,ACS 2016 5-year B19013,available
FL,12007,Bradford County,2017,46106,ACS 2017 5-year B19013,available
FL,12007,Bradford County,2018,46197,ACS 2018 5-year B19013,available
FL,12007,Bradford County,2019,45921,ACS 2019 5-year B19013,available
FL,12007,Bradford County,2020,43580,ACS 2020 5-year B19013,available
FL,12007,Bradford County,2021,48803,ACS 2021 5-year B19013,available
FL,12007,Bradford County,2022,54759,ACS 2022 5-year B19013,available
FL,12007,Bradford County,2023,59740,ACS 2023 5-year B19013,available
FL,12007,Bradford County,2024,63050,ACS 2024 5-year B19013,available
FL,12009,Brevard County,2015,48925,ACS 2015 5-year B19013,available
FL,12009,Brevard County,2016,49914,ACS 2016 5-year B19013,available
FL,12009,Brevard County,2017,51536,ACS 2017 5-year B19013,available
FL,12009,Brevard County,2018,54359,ACS 2018 5-year B19013,available
FL,12009,Brevard County,2019,56775,ACS 2019 5-year B19013,available
FL,12009,Brevard County,2020,59359,ACS 2020 5-year B19013,available
FL,12009,Brevard County,2021,63632,ACS 2021 5-year B19013,available
FL,12009,Brevard County,2022,71308,ACS 2022 5-year B19013,available
FL,12009,Brevard County,2023,75817,ACS 2023 5-year B19013,available
FL,12009,Brevard County,2024,78476,ACS 2024 5-year B19013,available
FL,12011,Broward County,2015,51968,ACS 2015 5-year B19013,available
FL,12011,Broward County,2016,52954,ACS 2016 5-year B19013,available
FL,12011,Broward County,2017,54895,ACS 2017 5-year B19013,available
FL,12011,Broward County,2018,57333,ACS 2018 5-year B19013,available
FL,12011,Broward County,2019,59547,ACS 2019 5-year B19013,available
FL,12011,Broward County,2020,60922,ACS 2020 5-year B19013,available
FL,12011,Broward County,2021,64522,ACS 2021 5-year B19013,available
FL,12011,Broward County,2022,70331,ACS 2022 5-year B19013,available
FL,12011,Broward County,2023,74534,ACS 2023 5-year B19013,available
FL,12011,Broward County,2024,77633,ACS 2024 5-year B19013,available
FL,12013,Calhoun County,2015,34510,ACS 2015 5-year B19013,available
FL,12013,Calhoun County,2016,37089,ACS 2016 5-year B19013,available
FL,12013,Calhoun County,2017,36237,ACS 2017 5-year B19013,available
FL,12013,Calhoun County,2018,38609,ACS 2018 5-year B19013,available
FL,12013,Calhoun County,2019,38568,ACS 2019 5-year B19013,available
FL,12013,Calhoun County,2020,38037,ACS 2020 5-year B19013,available
FL,12013,Calhoun County,2021,38098,ACS 2021 5-year B19013,available
FL,12013,Calhoun County,2022,41526,ACS 2022 5-year B19013,available
FL,12013,Calhoun County,2023,46901,ACS 2023 5-year B19013,available
FL,12013,Calhoun County,2024,50517,ACS 2024 5-year B19013,available
FL,12015,Charlotte County,2015,44244,ACS 2015 5-year B19013,available
FL,12015,Charlotte County,2016,44865,ACS 2016 5-year B19013,available
FL,12015,Charlotte County,2017,46511,ACS 2017 5-year B19013,available
FL,12015,Charlotte County,2018,49225,ACS 2018 5-year B19013,available
FL,12015,Charlotte County,2019,51499,ACS 2019 5-year B19013,available
FL,12015,Charlotte County,2020,52724,ACS 2020 5-year B19013,available
FL,12015,Charlotte County,2021,57887,ACS 2021 5-year B19013,available
FL,12015,Charlotte County,2022,62164,ACS 2022 5-year B19013,available
FL,12015,Charlotte County,2023,66154,ACS 2023 5-year B19013,available
FL,12015,Charlotte County,2024,69952,ACS 2024 5-year B19013,available
FL,12017,Citrus County,2015,38312,ACS 2015 5-year B19013,available
FL,12017,Citrus County,2016,39054,ACS 2016 5-year B19013,available
FL,12017,Citrus County,2017,40574,ACS 2017 5-year B19013,available
FL,12017,Citrus County,2018,41424,ACS 2018 5-year B19013,available
FL,12017,Citrus County,2019,44237,ACS 2019 5-year B19013,available
FL,12017,Citrus County,2020,45689,ACS 2020 5-year B19013,available
FL,12017,Citrus County,2021,48664,ACS 2021 5-year B19013,available
FL,12017,Citrus County,2022,52569,ACS 2022 5-year B19013,available
FL,12017,Citrus County,2023,55355,ACS 2023 5-year B19013,available
FL,12017,Citrus County,2024,56546,ACS 2024 5-year B19013,available
FL,12019,Clay County,2015,58290,ACS 2015 5-year B19013,available
FL,12019,Clay County,2016,59179,ACS 2016 5-year B19013,available
FL,12019,Clay County,2017,61971,ACS 2017 5-year B19013,available
FL,12019,Clay County,2018,62653,ACS 2018 5-year B19013,available
FL,12019,Clay County,2019,65740,ACS 2019 5-year B19013,available
FL,12019,Clay County,2020,68657,ACS 2020 5-year B19013,available
FL,12019,Clay County,2021,74059,ACS 2021 5-year B19013,available
